T,Headp_x,Headp_y,Headp_z,Headq_x,Headq_y,Headq_z,Headq_w,Leftp_x,Leftp_y,Leftp_z,Leftq_x,Leftq_y,Leftq_z,Leftq_w,Left_grip,Left_primary,Left_primary_x,Left_primary_y,Left_second,Left_second_x,Left_second_y,Rightp_x,Rightp_y,Rightp_z,Rightq_x,Rightq_y,Rightq_z,Rightq_w,Right_grip,Right_primary,Right_primary_x,Right_primary_y,Right_second,Right_second_x,Right_second_y,Eye_orix,Eye_oriy,Eye_oriz,Eye_dirx,Eye_diry,Eye_dirz,Eye_con,ntp_time,Pid
0.52000000,-725.28810000,26.44684000,-1040.68200000,-0.02053053,-0.99919200,-0.00590425,0.03404392,-725.24050000,25.98642000,-1040.85200000,-0.12617330,-0.97339350,0.17797880,0.07006415,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41910000,25.99082000,-1040.84500000,0.18943760,-0.96256820,0.09802794,0.16723140,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.07000000,0.01000000,-1.00000000,nan,1673611214.00000000,13.00000000
0.54000000,-725.28720000,26.44693000,-1040.68100000,-0.02047312,-0.99917850,-0.00587579,0.03447746,-725.24010000,25.98648000,-1040.85200000,-0.12620550,-0.97342070,0.17801610,0.06953063,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41870000,25.99068000,-1040.84500000,0.18924540,-0.96258430,0.09851511,0.16707020,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.07000000,0.01000000,-1.00000000,nan,1673611214.01960778,13.00000000
0.56000000,-725.28720000,26.44688000,-1040.68100000,-0.02046229,-0.99915620,-0.00564896,0.03515982,-725.23940000,25.98649000,-1040.85200000,-0.12650200,-0.97345500,0.17805170,0.06841173,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41820000,25.99037000,-1040.84500000,0.18915400,-0.96257700,0.09946438,0.16665290,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.07000000,0.01000000,-1.00000000,nan,1673611214.03921556,13.00000000
0.58000000,-725.28640000,26.44700000,-1040.68100000,-0.02038357,-0.99914050,-0.00555379,0.03566485,-725.23900000,25.98665000,-1040.85300000,-0.12675120,-0.97353920,0.17766040,0.06776629,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41750000,25.99026000,-1040.84400000,0.18905000,-0.96264370,0.09956791,0.16632330,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.07000000,0.01000000,-1.00000000,nan,1673611214.05882335,13.00000000
0.60000000,-725.28640000,26.44700000,-1040.68100000,-0.02038357,-0.99914050,-0.00555379,0.03566485,-725.23900000,25.98665000,-1040.85300000,-0.12675120,-0.97353920,0.17766040,0.06776629,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41750000,25.99026000,-1040.84400000,0.18905000,-0.96264370,0.09956791,0.16632330,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.07000000,0.01000000,-1.00000000,nan,1673611214.07843113,13.00000000
0.61999990,-725.28640000,26.44710000,-1040.68100000,-0.02031952,-0.99910940,-0.00547569,0.03657205,-725.23850000,25.98706000,-1040.85300000,-0.12717100,-0.97368150,0.17697520,0.06672079,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41710000,25.99035000,-1040.84400000,0.18898730,-0.96272780,0.09968118,0.16583960,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.07000000,0.01000000,-1.00000000,nan,1673611214.09803891,13.00000000
0.63999990,-725.28640000,26.44720000,-1040.68000000,-0.02021360,-0.99909500,-0.00558320,0.03700630,-725.23860000,25.98726000,-1040.85300000,-0.12723570,-0.97381280,0.17633840,0.06636651,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41700000,25.99050000,-1040.84400000,0.18875810,-0.96286990,0.09911888,0.16561230,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.07000000,0.01000000,-1.00000000,nan,1673611214.11764669,13.00000000
0.65999990,-725.28560000,26.44747000,-1040.67900000,-0.02002849,-0.99904820,-0.00604244,0.03827602,-725.23790000,25.98795000,-1040.85300000,-0.12778400,-0.97413980,0.17453950,0.06526010,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41660000,25.99091000,-1040.84400000,0.18821540,-0.96317890,0.09805365,0.16506620,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.07000000,0.01000000,-1.00000000,nan,1673611214.13725448,13.00000000
0.67999990,-725.28560000,26.44778000,-1040.67900000,-0.02000697,-0.99901630,-0.00658623,0.03902274,-725.23750000,25.98840000,-1040.85400000,-0.12820490,-0.97431840,0.17348030,0.06458852,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41660000,25.99130000,-1040.84400000,0.18764440,-0.96337710,0.09739739,0.16494850,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.08000000,0.02000000,-1.00000000,nan,1673611214.15686226,13.00000000
0.69999990,-725.28560000,26.44778000,-1040.67900000,-0.02000697,-0.99901630,-0.00658623,0.03902274,-725.23750000,25.98840000,-1040.85400000,-0.12820490,-0.97431840,0.17348030,0.06458852,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41660000,25.99130000,-1040.84400000,0.18764440,-0.96337710,0.09739739,0.16494850,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.08000000,0.02000000,-1.00000000,nan,1673611214.17647004,13.00000000
0.71999980,-725.28510000,26.44794000,-1040.67800000,-0.01991293,-0.99899740,-0.00700360,0.03948013,-725.23750000,25.98867000,-1040.85400000,-0.12804180,-0.97440490,0.17316790,0.06444579,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41700000,25.99158000,-1040.84400000,0.18752660,-0.96341670,0.09692753,0.16512740,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.08000000,0.02000000,-1.00000000,nan,1673611214.19607782,13.00000000
0.73999980,-725.28520000,26.44827000,-1040.67800000,-0.01983879,-0.99896040,-0.00781343,0.04029235,-725.23750000,25.98908000,-1040.85400000,-0.12794080,-0.97454360,0.17249070,0.06436549,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41700000,25.99196000,-1040.84400000,0.18699410,-0.96352310,0.09622294,0.16552200,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.08000000,0.02000000,-1.00000000,nan,1673611214.21568561,13.00000000
0.75999980,-725.28490000,26.44843000,-1040.67800000,-0.01977838,-0.99894220,-0.00830730,0.04067238,-725.23770000,25.98914000,-1040.85400000,-0.12838320,-0.97445330,0.17239980,0.06509067,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41720000,25.99222000,-1040.84400000,0.18683920,-0.96354160,0.09586032,0.16579980,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.45000000,-1040.68000000,-0.08000000,0.02000000,-1.00000000,nan,1673611214.23529339,13.00000000
0.77999980,-725.28470000,26.44872000,-1040.67700000,-0.01973025,-0.99889870,-0.00919213,0.04156534,-725.23800000,25.98930000,-1040.85400000,-0.12854720,-0.97445020,0.17197500,0.06593127,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41770000,25.99249000,-1040.84400000,0.18669060,-0.96352780,0.09507315,0.16649900,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.08000000,0.02000000,-1.00000000,nan,1673611214.25490117,13.00000000
0.79999980,-725.28470000,26.44872000,-1040.67700000,-0.01973025,-0.99889870,-0.00919213,0.04156534,-725.23800000,25.98930000,-1040.85400000,-0.12854720,-0.97445020,0.17197500,0.06593127,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41770000,25.99249000,-1040.84400000,0.18669060,-0.96352780,0.09507315,0.16649900,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.08000000,0.02000000,-1.00000000,nan,1673611214.27450895,13.00000000
0.81999980,-725.28420000,26.44890000,-1040.67700000,-0.01966507,-0.99885210,-0.00990997,0.04254006,-725.23830000,25.98939000,-1040.85300000,-0.12845020,-0.97438040,0.17196010,0.06717928,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41790000,25.99265000,-1040.84400000,0.18639770,-0.96346160,0.09454221,0.16750930,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.08000000,0.02000000,-1.00000000,nan,1673611214.29411674,13.00000000
0.83999970,-725.28430000,26.44919000,-1040.67700000,-0.01966603,-0.99880210,-0.01053602,0.04355107,-725.23890000,25.98952000,-1040.85300000,-0.12820170,-0.97429850,0.17201980,0.06867319,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41820000,25.99269000,-1040.84300000,0.18589060,-0.96345490,0.09411357,0.16835070,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.09000000,0.02000000,-1.00000000,nan,1673611214.31372452,13.00000000
0.85999970,-725.28420000,26.44931000,-1040.67700000,-0.01957237,-0.99877840,-0.01070028,0.04409257,-725.23930000,25.98959000,-1040.85300000,-0.12829600,-0.97415470,0.17232120,0.06977269,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41850000,25.99281000,-1040.84300000,0.18591660,-0.96337470,0.09416088,0.16875420,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.09000000,0.02000000,-1.00000000,nan,1673611214.33333230,13.00000000
0.87999970,-725.28410000,26.44936000,-1040.67600000,-0.01948406,-0.99872360,-0.01104801,0.04527299,-725.23970000,25.98969000,-1040.85300000,-0.12848170,-0.97397650,0.17243630,0.07160971,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41890000,25.99280000,-1040.84300000,0.18600110,-0.96317950,0.09432815,0.16967920,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.09000000,0.02000000,-1.00000000,nan,1673611214.35294008,13.00000000
0.89999970,-725.28410000,26.44936000,-1040.67600000,-0.01948406,-0.99872360,-0.01104801,0.04527299,-725.23970000,25.98969000,-1040.85300000,-0.12848170,-0.97397650,0.17243630,0.07160971,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41890000,25.99280000,-1040.84300000,0.18600110,-0.96317950,0.09432815,0.16967920,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.09000000,0.02000000,-1.00000000,nan,1673611214.37254786,13.00000000
0.91999970,-725.28410000,26.44948000,-1040.67600000,-0.01936755,-0.99866650,-0.01129208,0.04650407,-725.24040000,25.98974000,-1040.85300000,-0.12830960,-0.97379720,0.17282030,0.07340866,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41900000,25.99261000,-1040.84300000,0.18604140,-0.96298850,0.09452576,0.17060680,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.09000000,0.02000000,-1.00000000,nan,1673611214.39215565,13.00000000
0.93999960,-725.28380000,26.44942000,-1040.67500000,-0.01918438,-0.99861040,-0.01107426,0.04781907,-725.24090000,25.98977000,-1040.85200000,-0.12806170,-0.97368230,0.17294380,0.07505679,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.41960000,25.99256000,-1040.84200000,0.18638050,-0.96273230,0.09467036,0.17159920,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.10000000,0.02000000,-1.00000000,nan,1673611214.41176343,13.00000000
0.95999960,-725.28360000,26.44939000,-1040.67500000,-0.01896047,-0.99855040,-0.01078507,0.04920692,-725.24120000,25.98974000,-1040.85200000,-0.12821030,-0.97355600,0.17306400,0.07615487,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.42000000,25.99244000,-1040.84200000,0.18677480,-0.96250640,0.09478425,0.17237370,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.10000000,0.02000000,-0.99000000,nan,1673611214.43137121,13.00000000
0.97999960,-725.28390000,26.44937000,-1040.67500000,-0.01881336,-0.99852360,-0.01047743,0.04986929,-725.24130000,25.98975000,-1040.85200000,-0.12873370,-0.97344190,0.17309760,0.07665335,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.42020000,25.99249000,-1040.84200000,0.18691330,-0.96241230,0.09491980,0.17267380,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.10000000,0.02000000,-0.99000000,nan,1673611214.45097899,13.00000000
0.99999960,-725.28390000,26.44937000,-1040.67500000,-0.01881336,-0.99852360,-0.01047743,0.04986929,-725.24130000,25.98975000,-1040.85200000,-0.12873370,-0.97344190,0.17309760,0.07665335,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.42020000,25.99249000,-1040.84200000,0.18691330,-0.96241230,0.09491980,0.17267380,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.10000000,0.02000000,-0.99000000,nan,1673611214.47058678,13.00000000
1.02000000,-725.28380000,26.44905000,-1040.67500000,-0.01829567,-0.99840240,-0.00932628,0.05264077,-725.24210000,25.99021000,-1040.85200000,-0.13064500,-0.97320200,0.17165440,0.07965226,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.42030000,25.99223000,-1040.84100000,0.18750270,-0.96203170,0.09488864,0.17416660,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.10000000,0.02000000,-0.99000000,nan,1673611214.49019456,13.00000000
1.04000000,-725.28360000,26.44913000,-1040.67500000,-0.01807439,-0.99832500,-0.00867305,0.05427074,-725.24190000,25.99100000,-1040.85300000,-0.13158590,-0.97327620,0.16996810,0.08080477,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.42080000,25.99232000,-1040.84100000,0.18752540,-0.96191750,0.09483507,0.17480110,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.67000000,-0.11000000,0.02000000,-0.99000000,nan,1673611214.50980234,13.00000000
1.06000000,-725.28360000,26.44908000,-1040.67400000,-0.01785646,-0.99821860,-0.00816462,0.05633987,-725.24150000,25.99192000,-1040.85300000,-0.13132710,-0.97386840,0.16656320,0.08118010,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.42110000,25.99227000,-1040.84000000,0.18731710,-0.96180900,0.09490030,0.17558410,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.67000000,-0.11000000,0.02000000,-0.99000000,nan,1673611214.52941012,13.00000000
1.08000000,-725.28370000,26.44912000,-1040.67400000,-0.01768368,-0.99785430,-0.00711645,0.06263796,-725.23960000,25.99445000,-1040.85700000,-0.12704810,-0.97633710,0.15504920,0.08114448,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.42230000,25.99169000,-1040.84000000,0.18810490,-0.96111320,0.09498546,0.17848190,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.12000000,0.02000000,-0.99000000,nan,1673611214.54901791,13.00000000
1.10000000,-725.28370000,26.44912000,-1040.67400000,-0.01768368,-0.99785430,-0.00711645,0.06263796,-725.23960000,25.99445000,-1040.85700000,-0.12704810,-0.97633710,0.15504920,0.08114448,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.42230000,25.99169000,-1040.84000000,0.18810490,-0.96111320,0.09498546,0.17848190,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.68000000,-0.12000000,0.02000000,-0.99000000,nan,1673611214.56862569,13.00000000
1.12000000,-725.28440000,26.44926000,-1040.67500000,-0.01793772,-0.99760810,-0.00688125,0.06640067,-725.23770000,25.99578000,-1040.85900000,-0.12437160,-0.97800330,0.14806710,0.07821441,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.42320000,25.99116000,-1040.83900000,0.18773620,-0.96061200,0.09561039,0.18121370,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.45000000,-1040.67000000,-0.14000000,0.02000000,-0.99000000,nan,1673611214.58823347,13.00000000
