T,Headp_x,Headp_y,Headp_z,Headq_x,Headq_y,Headq_z,Headq_w,Leftp_x,Leftp_y,Leftp_z,Leftq_x,Leftq_y,Leftq_z,Leftq_w,Left_grip,Left_primary,Left_primary_x,Left_primary_y,Left_second,Left_second_x,Left_second_y,Rightp_x,Rightp_y,Rightp_z,Rightq_x,Rightq_y,Rightq_z,Rightq_w,Right_grip,Right_primary,Right_primary_x,Right_primary_y,Right_second,Right_second_x,Right_second_y,Eye_orix,Eye_oriy,Eye_oriz,Eye_dirx,Eye_diry,Eye_dirz,Eye_con,ntp_time,Pid
0.02000000,7.83333700,2.15803900,4.57703900,0.01144902,-0.95561680,-0.10889730,0.27350820,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673612859.00000000,14.00000000
0.04000000,7.82947000,2.15863500,4.58462500,0.00975123,-0.94376340,-0.11541080,0.30967070,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673612859.01923084,14.00000000
0.06000000,7.82887200,2.15879200,4.58652200,0.00915610,-0.94088130,-0.11697100,0.31776780,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,1.45683000,1673612859.03846169,14.00000000
0.08000000,7.82854300,2.15886200,4.58823000,0.00843051,-0.93813650,-0.11851180,0.32524450,8.14911700,1.57198700,4.32782100,-0.08444780,0.98003170,-0.02580069,0.17815910,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.73114800,1.61233100,4.32276800,0.00319061,-0.99303520,-0.07050618,0.09433858,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673612859.05769253,14.00000000
0.09999999,7.82854300,2.15886200,4.58823000,0.00843051,-0.93813650,-0.11851180,0.32524450,8.14911700,1.57198700,4.32782100,-0.08444780,0.98003170,-0.02580069,0.17815910,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.73114800,1.61233100,4.32276800,0.00319061,-0.99303520,-0.07050618,0.09433858,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673612859.07692337,14.00000000
0.12000000,7.82781100,2.15901900,4.59036600,0.00740146,-0.93419710,-0.12058360,0.33567960,8.13377600,1.57291600,4.32088300,-0.08231539,0.98432010,-0.02161220,0.15450280,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.72046900,1.61090000,4.32861700,0.00437575,-0.99088290,-0.06855386,0.11589730,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673612859.09615421,14.00000000
0.14000000,7.82758900,2.15912400,4.59177300,0.00662888,-0.93180010,-0.12172290,0.34188910,8.12326800,1.57317800,4.31663800,-0.08101834,0.98678210,-0.01928508,0.13901550,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.71383700,1.60994200,4.33280400,0.00583129,-0.98924770,-0.06744809,0.12963730,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.84000000,2.16000000,4.62000000,-0.69000000,0.07000000,-0.72000000,32.76800000,1673612859.11538506,14.00000000
0.16000000,7.82746000,2.15916800,4.59223500,0.00624158,-0.93072100,-0.12222080,0.34464680,8.11833800,1.57340200,4.31510900,-0.08090974,0.98782370,-0.01788589,0.13167420,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.71096400,1.60962800,4.33435700,0.00650296,-0.98845820,-0.06662338,0.13590280,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.84000000,2.16000000,4.62000000,-0.69000000,0.08000000,-0.72000000,nan,1673612859.13461590,14.00000000
0.18000000,7.82738000,2.15924100,4.59340200,0.00549457,-0.92863980,-0.12323800,0.34987180,8.10901500,1.57387800,4.31224600,0.07893558,-0.98983940,0.01628932,-0.11714040,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.70517400,1.60857700,4.33847200,0.00802366,-0.98668500,-0.06510795,0.14882660,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.85000000,2.16000000,4.62000000,-0.74000000,0.10000000,-0.66000000,32.76800000,1673612859.15384674,14.00000000
0.20000000,7.82738000,2.15924100,4.59340200,0.00549457,-0.92863980,-0.12323800,0.34987180,8.10901500,1.57387800,4.31224600,0.07893558,-0.98983940,0.01628932,-0.11714040,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.70517400,1.60857700,4.33847200,0.00802366,-0.98668500,-0.06510795,0.14882660,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.85000000,2.16000000,4.62000000,-0.74000000,0.10000000,-0.66000000,32.76800000,1673612859.17307758,14.00000000
