T,Headp_x,Headp_y,Headp_z,Headq_x,Headq_y,Headq_z,Headq_w,Leftp_x,Leftp_y,Leftp_z,Leftq_x,Leftq_y,Leftq_z,Leftq_w,Left_grip,Left_primary,Left_primary_x,Left_primary_y,Left_second,Left_second_x,Left_second_y,Rightp_x,Rightp_y,Rightp_z,Rightq_x,Rightq_y,Rightq_z,Rightq_w,Right_grip,Right_primary,Right_primary_x,Right_primary_y,Right_second,Right_second_x,Right_second_y,Eye_orix,Eye_oriy,Eye_oriz,Eye_dirx,Eye_diry,Eye_dirz,Eye_con,ntp_time,Pid
0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,0.00000000,0.70710680,0.00000000,1.00000000,0.00000000,0.00000000,-0.70710680,0.00000000,0.70710680,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-0.70710680,0.00000000,0.70710680,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673770385.00000000,22.00000000
0.02000000,0.11605900,2.57711700,0.72257430,0.00246372,0.08045620,0.02190549,0.99651450,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673770386.00000000,22.00000000
0.04000000,0.11427760,2.57708300,0.72299300,0.00432020,0.07997698,0.02180566,0.99654880,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673770386.50000000,22.00000000
0.06000000,0.11368370,2.57703700,0.72302990,0.00508165,0.07963511,0.02191353,0.99657030,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673770387.00000000,22.00000000
0.08000000,0.11349010,2.57704900,0.72302780,0.00522434,0.07963642,0.02195505,0.99656860,0.31451960,2.32953900,1.17679700,-0.25401290,0.05999479,-0.09840947,0.96030930,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,0.03408301,2.31426900,1.10272800,-0.20872890,0.05494237,0.04908968,0.97519430,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673770387.01666665,22.00000000
0.09999999,0.11349010,2.57704900,0.72302780,0.00522434,0.07963642,0.02195505,0.99656860,0.31451960,2.32953900,1.17679700,-0.25401290,0.05999479,-0.09840947,0.96030930,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,0.03408301,2.31426900,1.10272800,-0.20872890,0.05494237,0.04908968,0.97519430,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673770387.03333330,22.00000000
0.12000000,0.11300320,2.57571100,0.72224100,0.00612577,0.07971996,0.02168112,0.99656280,0.31424940,2.32930400,1.17700000,-0.25405740,0.05956006,-0.09896229,0.96026780,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,0.03367246,2.31439700,1.10292000,-0.20904630,0.05450830,0.04924547,0.97514280,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673770387.04999995,22.00000000
0.14000000,0.11221240,2.57525200,0.72253970,0.00648266,0.07971710,0.02171238,0.99656000,0.31416170,2.32942900,1.17679700,-0.25443680,0.05974168,-0.09890488,0.96016190,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,0.03354609,2.31448700,1.10285300,-0.20894000,0.05438223,0.04890443,0.97518980,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673770387.06666660,22.00000000
0.16000000,0.11201110,2.57522600,0.72249440,0.00653224,0.07968250,0.02180520,0.99656050,0.31416980,2.32935600,1.17690100,-0.25411720,0.05992010,-0.09892614,0.96023320,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,0.03352607,2.31452500,1.10288900,-0.20894960,0.05455670,0.04923374,0.97516140,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673770387.08333325,22.00000000
0.18000000,0.11140270,2.57512700,0.72231510,0.00687920,0.07971281,0.02183839,0.99655500,0.31382530,2.32935700,1.17694400,-0.25367060,0.05982962,-0.09841441,0.96040950,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,0.03328574,2.31479500,1.10297600,-0.20932450,0.05477867,0.05006091,0.97502640,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,0.14000000,2.58000000,0.69000000,-0.25000000,-0.40000000,0.88000000,nan,1673770387.09999990,22.00000000
0.20000000,0.11140270,2.57512700,0.72231510,0.00687920,0.07971281,0.02183839,0.99655500,0.31382530,2.32935700,1.17694400,-0.25367060,0.05982962,-0.09841441,0.96040950,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,0.03328574,2.31479500,1.10297600,-0.20932450,0.05477867,0.05006091,0.97502640,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,0.14000000,2.58000000,0.69000000,-0.25000000,-0.40000000,0.88000000,nan,1673770387.11666656,22.00000000
