UserID,How is the overall quality?,How is the visual quality?,Are the object moved as you expect?,How is the immersive level?,Will you continue exploring the scene under the current system quality and immersive level?
0,2,3,3,2,n
1,5,5,4,4,y
2,5,5,5,5,y
3,4,4,3,3,y
4,4,4,4,5,y
5,4,5,3,4,y
6,4,4,3,4,y
7,3,3,1,3,n
8,4,4,4,4,n
9,3,3,2,3,n
10,3,3,5,3,n
13,5,5,4,5,y
14,4,4,3,4,y
16,3,3,3,3,n
18,2,4,1,3,n
19,3,3,2,3,n
20,5,5,,5,y
21,4,5,3,4,n
22,3,4,3,3,y
26,3,3,3,4,n
27,4,3,4,4,n
28,3,3,2,3,y
29,4,4,5,5,y
30,4,3,4,4,n
